subscribers,video views,category,uploads,Country,channel_type,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,Gross tertiary education enrollment (%),Population,Unemployment rate
20700000,5091618606.0,Howto & Style,5062,United States,Howto,60000.0,960600.0,2018.0,Jan,88.2,328239523.0,14.7
20700000,8658941531.0,People & Blogs,889,Russia,People,1700000.0,26500000.0,2015.0,Oct,81.9,144373535.0,4.59
20700000,12624879732.0,Sports,47926,United States,Sports,219100.0,3500000.0,2005.0,Nov,88.2,328239523.0,14.7
20600000,4956090094.0,Entertainment,15,Indonesia,Entertainment,0.26,4.0,2007.0,Jul,36.3,270203917.0,4.69
20600000,7657171980.0,Comedy,83,Argentina,Entertainment,579500.0,9300000.0,2017.0,Jan,90.0,44938712.0,9.79
20600000,10292874715.0,Music,156,Sweden,Music,243700.0,3900000.0,2009.0,Oct,67.0,10285453.0,6.48
20500000,15038593883.0,Entertainment,33229,South Korea,Entertainment,475600.0,7600000.0,2006.0,Mar,94.3,51709098.0,4.15
20500000,8768697257.0,Gaming,1323,Australia,Games,78200.0,1300000.0,2015.0,Jan,113.1,25766605.0,5.27
20500000,11009148579.0,Entertainment,296,United States,Entertainment,585600.0,9400000.0,2017.0,Feb,88.2,328239523.0,14.7
20400000,1796227417.0,Film & Animation,206,Brazil,Film,118500.0,1900000.0,2014.0,Dec,51.3,212559417.0,12.08
20400000,7311322368.0,People & Blogs,1006,United States,People,43900.0,703000.0,2013.0,Sep,88.2,328239523.0,14.7
20400000,13397000296.0,Music,0,Afghanistan,Games,0.0,0.0,2006.0,Nov,9.7,38041754.0,11.12
20400000,29406206620.0,Entertainment,51515,India,Entertainment,2700000.0,43600000.0,2007.0,Feb,28.1,1366417754.0,5.36
20400000,4707412332.0,Entertainment,462,Ukraine,Entertainment,87000.0,1400000.0,2012.0,Dec,82.7,44385155.0,8.88
20400000,3579555124.0,Music,239,India,Music,123900.0,2000000.0,2013.0,May,28.1,1366417754.0,5.36
20300000,2441288701.0,Entertainment,1245,United Kingdom,Entertainment,259400.0,4100000.0,2013.0,Jan,60.0,66834405.0,3.85
20300000,11819051552.0,Education,875,Indonesia,Education,338300.0,5400000.0,2019.0,Jan,36.3,270203917.0,4.69
20200000,2951914200.0,Entertainment,460,Colombia,Entertainment,791600.0,12700000.0,2009.0,Jul,55.3,50339443.0,9.71
20200000,2764127969.0,Comedy,693,United Arab Emirates,Entertainment,46700.0,746700.0,2014.0,Apr,36.8,9770529.0,2.35
20200000,7274150246.0,Education,226,India,Education,340300.0,5400000.0,2017.0,May,28.1,1366417754.0,5.36
20200000,20919403720.0,Comedy,1935,Latvia,Comedy,3700000.0,59800000.0,2020.0,Mar,88.1,1912789.0,6.52
20200000,19694265358.0,Comedy,761,United States,Comedy,1400000.0,21700000.0,2021.0,Jun,88.2,328239523.0,14.7
20200000,6098644584.0,Gaming,3713,Indonesia,Games,193500.0,3100000.0,2014.0,Mar,36.3,270203917.0,4.69
20100000,23353115850.0,Entertainment,3774,United States,Games,665100.0,10600000.0,2013.0,Nov,88.2,328239523.0,14.7
20100000,6618524158.0,Music,241,United States,Music,75800.0,1200000.0,2010.0,Apr,88.2,328239523.0,14.7
20100000,8920141342.0,Gaming,4974,Brazil,Games,16300.0,260200.0,2011.0,Oct,51.3,212559417.0,12.08
20100000,11317309935.0,Film & Animation,1481,United States,Entertainment,44600.0,713400.0,2007.0,Feb,88.2,328239523.0,14.7
20100000,14816075927.0,Music,2384,United States,Music,830300.0,13300000.0,2013.0,May,88.2,328239523.0,14.7
20100000,6119294270.0,Howto & Style,5491,United States,Howto,317400.0,5100000.0,2017.0,Oct,88.2,328239523.0,14.7
20100000,5634695322.0,Entertainment,1,United States,Film,0.19,3.0,2011.0,May,88.2,328239523.0,14.7
20100000,17913237851.0,People & Blogs,7737,United States,People,27300.0,437400.0,2011.0,Aug,88.2,328239523.0,14.7
20000000,13154314376.0,Entertainment,4339,United States,Entertainment,69600.0,1100000.0,2007.0,Jun,88.2,328239523.0,14.7
20000000,559765455.0,Music,1527,United States,Music,4000.0,63900.0,2006.0,Apr,88.2,328239523.0,14.7
20000000,3875172235.0,Entertainment,1527,United Kingdom,Entertainment,117700.0,1900000.0,2006.0,Apr,60.0,66834405.0,3.85
20000000,6033295543.0,Music,1,Canada,Entertainment,0.0,0.0,2006.0,Mar,68.9,36991981.0,5.56
20000000,9715291883.0,Film & Animation,1476,India,Entertainment,0.0,0.0,2011.0,Jul,28.1,1366417754.0,5.36
19900000,13917423958.0,Music,416,Brazil,Music,644400.0,10300000.0,2010.0,Nov,51.3,212559417.0,12.08
19800000,3234880084.0,Science & Technology,1411,Germany,Tech,17000.0,271200.0,2011.0,Sep,70.2,83132799.0,3.04
19800000,5759442450.0,People & Blogs,760,United States,Entertainment,18400.0,294600.0,2017.0,Dec,88.2,328239523.0,14.7
19800000,12293479945.0,News & Politics,9930,United States,News,49.0,779.0,2013.0,Nov,88.2,328239523.0,14.7
19700000,1803249241.0,Comedy,250,United States,Comedy,11300.0,180900.0,2010.0,Feb,88.2,328239523.0,14.7
19700000,10955619815.0,Film & Animation,1,United States,Games,0.0,0.0,2011.0,Oct,88.2,328239523.0,14.7
19700000,11323617496.0,Entertainment,4225,United Kingdom,Entertainment,162600.0,2600000.0,2008.0,Apr,60.0,66834405.0,3.85
19700000,9808676159.0,Entertainment,267,United Kingdom,Music,1.0,16.0,2006.0,Mar,60.0,66834405.0,3.85
19600000,2851024430.0,Gaming,17,United States,Games,0.07,1.0,2009.0,Mar,88.2,328239523.0,14.7
19600000,13930021471.0,Shows,18661,United States,Entertainment,822600.0,13200000.0,2013.0,Nov,88.2,328239523.0,14.7
19600000,8779729549.0,Entertainment,1306,Turkey,Entertainment,332400.0,5300000.0,2020.0,Apr,23.9,83429615.0,13.49
