,subscribers,youtuber,video_views,channel_category,channel_uploads,country,lowest_yearly_earnings,highest_yearly_earnings,created_year,tertiary_education_enrollment,population,unemployment_rate,channel_type,Latitude,Longitude,region
376,20400000,Jake Paul,7311322368.0,Lifestyle,1006,United States,43900.0,703000.0,2013,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
377,20400000,Linkin Park,13397000296.0,Music,0,Afghanistan,0.0,0.0,2006,9.7,38041754.0,11.12,Games,33.93911,67.709953,Asia
378,20400000,Vijay Television,29406206620.0,Entertainment,51515,India,2700000.0,43600000.0,2007,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
379,20400000,SlivkiShow,4707412332.0,Entertainment,462,Ukraine,87000.0,1400000.0,2012,82.7,44385155.0,8.88,Entertainment,48.379433,31.16558,Europe
380,20400000,Emiway Bantai,3579555124.0,Music,239,India,123900.0,2000000.0,2013,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
381,20300000,Got Talent Global,2441288701.0,Entertainment,1245,United Kingdom,259400.0,4100000.0,2013,60.0,66834405.0,3.85,Entertainment,55.378051,-3.435973,Europe
383,20300000,BabyBus - Cerita & Lagu Anak-anak,11819051552.0,Education,875,Indonesia,338300.0,5400000.0,2019,36.3,270203917.0,4.69,Education,-0.789275,113.921327,Asia
384,20200000,Ami Rodriguez,2951914200.0,Entertainment,460,Colombia,791600.0,12700000.0,2009,55.3,50339443.0,9.71,Entertainment,4.570868,-74.297333,S.America
385,20200000,Noor Stars,2764127969.0,Lifestyle,693,United Arab Emirates,46700.0,746700.0,2014,36.8,9770529.0,2.35,Entertainment,23.424076,53.847818,Asia
387,20200000,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,7274150246.0,Education,226,India,340300.0,5400000.0,2017,28.1,1366417754.0,5.36,Education,20.593684,78.96288,Asia
388,20200000,dednahype,20919403720.0,Lifestyle,1935,Latvia,3700000.0,59800000.0,2020,88.1,1912789.0,6.52,Comedy,56.879635,24.603189,Europe
389,20200000,Marta and Rustam,19694265358.0,Lifestyle,761,United States,1400000.0,21700000.0,2021,88.2,328239523.0,14.7,Comedy,37.09024,-95.712891,N.America
390,20200000,MiawAug,6098644584.0,Gaming & Sports,3713,Indonesia,193500.0,3100000.0,2014,36.3,270203917.0,4.69,Games,-0.789275,113.921327,Asia
391,20100000,CookieSwirlC,23353115850.0,Entertainment,3774,United States,665100.0,10600000.0,2013,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
392,20100000,Skrillex,6618524158.0,Music,241,United States,75800.0,1200000.0,2010,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
393,20100000,AuthenticGames,8920141342.0,Gaming & Sports,4974,Brazil,16300.0,260200.0,2011,51.3,212559417.0,12.08,Games,-14.235004,-51.92528,S.America
395,20100000,Pencilmation,11317309935.0,Media,1481,United States,44600.0,713400.0,2007,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
396,20100000,7clouds,14816075927.0,Music,2384,United States,830300.0,13300000.0,2013,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
397,20100000,5-Minute Crafts PLAY,6119294270.0,Education,5491,United States,317400.0,5100000.0,2017,88.2,328239523.0,14.7,Howto,37.09024,-95.712891,N.America
398,20100000,Marvel Entertainment,5634695322.0,Entertainment,1,United States,0.19,3.0,2011,88.2,328239523.0,14.7,Film,37.09024,-95.712891,N.America
399,20100000,BuzzFeedVideo,17913237851.0,Lifestyle,7737,United States,27300.0,437400.0,2011,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
400,20000000,REACT,13154314376.0,Entertainment,4339,United States,69600.0,1100000.0,2007,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
401,20000000,Vevo,559765455.0,Music,1527,United States,4000.0,63900.0,2006,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
402,20000000,Gordon Ramsay,3875172235.0,Entertainment,1527,United Kingdom,117700.0,1900000.0,2006,60.0,66834405.0,3.85,Entertainment,55.378051,-3.435973,Europe
403,20000000,Pentatonix,6033295543.0,Music,1,Canada,0.0,0.0,2006,68.9,36991981.0,5.56,Entertainment,56.130366,-106.346771,N.America
404,20000000,Green Gold TV - Official Channel,9715291883.0,Media,1476,India,0.0,0.0,2011,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
405,19900000,Gusttavo Lima Oficial,13917423958.0,Music,416,Brazil,644400.0,10300000.0,2010,51.3,212559417.0,12.08,Music,-14.235004,-51.92528,S.America
406,19800000,HaerteTest,3234880084.0,Education,1411,Germany,17000.0,271200.0,2011,70.2,83132799.0,3.04,Tech,51.165691,10.451526,Europe
407,19800000,Crafty Panda,5759442450.0,Lifestyle,760,United States,18400.0,294600.0,2017,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
408,19800000,SOMOY TV,12293479945.0,Education,9930,United States,49.0,779.0,2013,88.2,328239523.0,14.7,News,37.09024,-95.712891,N.America
409,19700000,JennaMarbles,1803249241.0,Lifestyle,250,United States,11300.0,180900.0,2010,88.2,328239523.0,14.7,Comedy,37.09024,-95.712891,N.America
